Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Lakes,"A part of Minnesota, the northernmost point in the lower 48 states, juts into this U.S.-Canadian lake",Lake of the Woods,Eric Newhouse,False,False,1000,False,11,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Famous Politicians,The 2 late sons of John D. Rockefeller Jr. who became governors,Nelson Rockefeller (New York) & Winthrop Rockefeller (Arkansas),,False,False,"1,200",True,10,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
"""H""Istory",This Medieval confederacy of N. German cities was formed to defend their mutual trading interests,the Hanseatic League,Richard Perez-Peña,False,False,1000,False,4,Super Jeopardy! show #3,"Saturday, June 30, 1990",Jeopardy! Round
Opera,"It's been said of this tenor that ""(he) made the gramophone & the gramophone (made him)""",Caruso,Richard Perez-Peña,False,False,500,False,7,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Landmarks,The president of Venezuela has his offices in the Miraflores Palace in this city,Caracas,Eric Newhouse,False,False,500,False,4,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Foreign Words & Phrases,"Ubermensch, as both Nietzsche & Clark Kent could tell you",superman,Eric Newhouse,False,False,500,False,13,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Authors,"The Charley in his ""Travels with Charley"" was his dog",John Steinbeck,Eric Newhouse,False,False,1000,False,22,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
World Religion,"The 3 major orders of clergy in the Eastern Orthodox Church are bishops, deacons & these",priests,,False,False,1000,False,24,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Colleges & Universities,You now have to pay to use this university's coat of arms or veritas motto,Harvard,Elise Beraru,False,False,1000,False,27,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Opera,In a Mozart opera this title object belonged to Tamino,the magic flute,Richard Perez-Peña,False,False,1000,False,3,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Landmarks,This historic New York fort overlooks both Lake George & Lake Champlain,Ticonderoga,Eric Newhouse,False,False,1000,False,8,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Foreign Words & Phrases,RSVP is an abbreviation of this French expression,répondez s\'il vous plaît,Richard Perez-Peña,False,False,1000,False,15,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Authors,"She wrote ""The Making of Americans"" during the 43 years she lived in Paris",Gertrude Stein,Richard Perez-Peña,False,False,1500,False,10,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
World Religion,"Of the Hebrew, Roman Catholic & Protestant Bbibles, the one with the most books",Roman Catholic,Richard Perez-Peña,False,False,1500,False,23,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Colleges & Universities,Jimmy Carter helped to establish the research center named for him at this Atlanta Univ.,Emory,Richard Perez-Peña,False,False,1500,False,26,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Opera,"This opera, which features the following, was the 1st transmitted in color on TV:",Carmen,Gary Giardina,False,False,"2,500",True,1,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Landmarks,"To honor W. Churchill, London's Church of St. Mary the Virgin was moved stone by stone to this Mo. town",Fulton,Eric Newhouse,False,False,1500,False,11,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Foreign Words & Phrases,Greek word also used in English which means purging from guilt or defilement,catharsis,Eric Newhouse,False,False,1500,False,16,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Authors,"Eugene O'Neill work based on the ""Oresteia"" by Aeschylus",Mourning Becomes Electra,Eric Newhouse,False,False,"4,000",True,9,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
World Religion,"This celibate sect, a.k.a. the United Society of Believers in Christ's 2nd Appearing, is in serious decline",the Shakers,Gary Giardina,False,False,2000,False,14,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Colleges & Universities,"Roger Bacon, John Duns Scotus & William of Ockham were among the Franciscans who taught here",Oxford,Richard Perez-Peña,False,False,2000,False,20,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Opera,This popular Smetana opera includes a spirited polka & a chorus in praise of beer,The Bartered Bride,Elise Beraru,False,False,2000,False,2,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Landmarks,The Cappella della Sacra Sindone was built in the 17th century to house this relic,the Shroud of Turin,Elise Beraru,False,False,2000,False,12,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Foreign Words & Phrases,"We associate ""auto da fe"" with the Spanish Inquisition, but the expression, which means this, is Portuguese",act of faith,Eric Newhouse,False,False,2000,False,19,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Authors,"She's the author of the mystical autobiographical book ""Cross Creek""",(Marjorie) Rawlings,Gary Giardina,False,False,2500,False,5,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
World Religion,It's the title of the spiritual leader of the Ismaili sect of Muslims,Aga Khan,,False,False,2500,False,17,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Colleges & Universities,This university in St. Louis was founded by T.S. Eliot's grandfather but is named for a president,Washington,Eric Newhouse,False,False,2500,False,21,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Opera,"Minnie, a saloon owner, is the title characters in this Puccini opera",The Girl of the Golden West,Gary Giardina,False,False,2500,False,6,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Landmarks,The famous Oracle of Delphi was located on the lower slope of this sacred Greek mountain,Mount Parnassus,,False,False,2500,False,18,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
Foreign Words & Phrases,"Russian for ""comrade"", it came into greater use after the Bolshevik Revolution",tovarich,Richard Perez-Peña,False,False,2500,False,25,Super Jeopardy! show #3,"Saturday, June 30, 1990",Double Jeopardy! Round
State Capitals,"When Houston became Texas' capital in 1842, this city kept the archives & forced a move back to it",Austin,Eugene Finerman,False,False,200,False,29,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Saints & Sinners,"He expected a debate but didn't expect to start a new church when he posted his ""95 Theses"" in 1517",Martin Luther,Eric Newhouse,False,False,200,False,28,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Artists,"Unlike other artists of the time, Leonardo based these angel parts on the ones that birds have",Wings,Eugene Finerman,False,False,200,False,24,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
World History,In 1947 Britain's George VI dropped his title as emperor of this country,India,Bob Verini,False,False,200,False,25,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Hodgepodge,"""Blow The Man Down"" is an example of this type of song sailors sang while working on sailing ships",Shanty,Eugene Finerman,False,False,200,False,30,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Smiths,"The Pilgrims used the maps & books of this founder of Virginia, but did not accept his services",Captain John Smith,Eric Newhouse,False,False,200,False,6,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
State Capitals,It's named for a Maine general's daughter,Augusta,Bob Verini,False,False,400,False,27,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Saints & Sinners,Mark's gospel says this woman whom Jesus cured of seven demons was the first to see him resurrected,Mary Magdalene,,True,False,400,False,19,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Artists,"He was the subject of Gilbert Stuart's ""Vaughn"", ""Landsdowne"" & ""Athenaeum"" portraits",George Washington,Bob Verini,False,False,400,False,21,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
World History,"On May 30, 1967 it declared itself a republic & seceded from Nigeria",Biafra,Eugene Finerman,False,False,400,False,20,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Hodgepodge,"In 1802 Napoleon instituted this award, France's highest",Legion of Honor,Bob Verini,False,False,400,False,23,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Smiths,"This former ABC News anchor played himself in ""Close Encounters of the Third Kind"" & ""The Candidate""",Howard K. Smith,,True,False,400,False,5,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
State Capitals,"Listing the states alphabetically, this is the capital of the state at the top of the list",Montgomery (Alabama),,False,False,"1,000",True,26,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Saints & Sinners,"St. Monica's son, who lived a dissolute youth as he admitted in his ""Confessions""",St. Augustine,Bob Verini,False,False,600,False,17,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Artists,"Look around Goya's works & you'll spot several bichon frises, which are these",Dogs,Eugene Finerman,False,False,600,False,18,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
World History,"After discovering the Philippines in March of 1521, he stayed there for about a month & was killed",Ferdinand Magellan,Bob Verini,False,False,600,False,12,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Hodgepodge,The Royal Opera House in London has staged this Beethoven opera over 100 times since World War II,Fidelio,Eugene Finerman,False,False,600,False,22,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Smiths,"This New York Daily News columnist once said that gossip is ""news in a red satin dress""",Liz Smith,Bob Verini,False,False,600,False,4,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
State Capitals,"These 2 capitals both end in ""-polis""",Annapolis & Indianapolis,Eugene Finerman,False,False,800,False,11,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Saints & Sinners,The king who had St. Thomas More put to death,Henry VIII,Eric Newhouse,False,False,800,False,15,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Artists,"""A Portrait of Dr. Gachet"" by this artist sold in 1990 for $82.5 million",Vincent Van Gogh,Bob Verini,False,False,800,False,14,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
World History,By 1906 British New Guinea had become a territory of Australia & was renamed this,Papua New Guinea,Bob Verini,False,False,800,False,9,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Hodgepodge,This Scottish missionary explored the Kalahari Desert & discovered the Zambezi River in 1851,Dr. David Livingstone,Bob Verini,False,False,800,False,16,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Smiths,"Much of this British poet's works dealt with death including her most famous, ""Not Waving, But Drowning""",Stevie Smith,Bob Verini,False,False,800,False,3,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
State Capitals,State capital closest to Philadelphia,"Trenton, New Jersey",Bob Verini,False,False,1000,False,2,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Saints & Sinners,The king who had St. Thomas of Becket put to death,Henry II,Eric Newhouse,False,False,1000,False,13,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Artists,"His 1863 work ""Luncheon on the Grass"" was based on ""Concert Champetre"", painted centuries earlier",Edouard Manet,Eric Newhouse,False,False,1000,False,7,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
World History,This smallest Balkan country didn't become independent until the 20th century,Albania,Eric Newhouse,False,False,1000,False,8,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Hodgepodge,"""All The King's Men"" can't bring this U.S. Poet Laureate back again; he died September 15, 1989",Robert Penn Warren,Eric Newhouse,False,False,1000,False,10,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Smiths,"She wrote over 70 one-act plays but is best known for her first novel, ""A Tree Grows In Brooklyn""",Betty Smith,Eric Newhouse,False,False,1000,False,1,Super Jeopardy! show #4,"Saturday, July 7, 1990",Jeopardy! Round
Musical Theatre,Last name shared by musical theatre greats Moss & Lawrence,Hart,Eugene Finerman,False,False,500,False,14,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Architecture,Wallace K. Harrison designed the Metropolitan Opera House as part of this NYC complex,Lincoln Center,Bob Verini,False,False,500,False,21,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Democrats,"In May 1990 Daniel Akaka became this state's new junior senator, replacing Spark Matsunaga",Hawaii,Eugene Finerman,False,False,500,False,15,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Classical Literature,The people Aeneas led to Italy to found Rome were the losers in this war,the Trojan War,Eric Newhouse,False,False,500,False,1,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Musical Theatre,The original cast album of this Broadway musical features a rose & a mask on the cover,Phantom of the Opera,Eric Newhouse,False,False,1000,False,9,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Japan,"Occuring nearly 1,500 times a year, one of these led to more than 100,000 deaths in 1923",Earthquakes,Bob Verini,False,False,1000,False,5,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Architecture,The cathedral of Santa Maria del Fiore in Florence is called this after its massive dome,Il Duomo,Eugene Finerman,False,False,1000,False,26,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Democrats,Colorado congresswoman who was an almost-ran in the 1988 presidential race,Pat Schroeder,Bob Verini,False,False,1000,False,13,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Classical Literature,"The Elder wrote natural history & the Younger, his nephew & adopted son, was known for his books of letters",Pliny,Bob Verini,False,False,1000,False,16,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Musical Theatre,The title character of this comical 1956 musical almost marries Apassionata Von Climax,Li\'l Abner,Eugene Finerman,False,False,1500,False,8,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Japan,"In a traditional Japanese home, floors are covered with straw mats called these",Tatami,Eric Newhouse,False,False,1500,False,4,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Architecture,At age 13 he emigrated from Finland to the United States with his architect father Eliel,Eero Saarinen,Eric Newhouse,False,False,1500,False,23,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Democrats,William A. O'Neill has been governor of Connecticut since she resigned because of illness,Ella Grasso,Eugene Finerman,False,False,1500,False,12,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Classical Literature,"Philosopher who was grossly caricatured in Aristophanes' ""The Clouds""",Socrates,Eugene Finerman,False,False,1500,False,17,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
The Animal Kingdom,"The second-largest deer in the world, it's also called the wapiti",American elk,,True,False,2000,False,24,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Musical Theatre,"1-word title of the 1980 musical which featured the following:""When the pills the doctor gave you turn your cold to the grippe /When a stitch to save nine others comes apart with a rip /When the rats invade your attic and start leaving your ship /Follow my tip /Come away on a trip /Just join the circus...""",Barnum,Bob Verini,False,False,"9,900",True,7,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Japan,"The first Japanese film director to become famous internationally; his films include ""Rashomon"" & ""The Seven Samurai""",Akira Kurosawa,Eric Newhouse,False,False,2000,False,2,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Architecture,Pseudonym of Swiss architect & city planner Charles-Edouard Jeanneret,Le Corbusier,Bob Verini,False,False,2000,False,22,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Democrats,He's been an Arizona congressman since 1961 when his brother vacated the seat to join JFK's cabinet,Morris Udall,Eugene Finerman,False,False,2000,False,11,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Classical Literature,This first Greek historian attempted to write a history of the world up to his own time,Herodotus,Eric Newhouse,False,False,2000,False,18,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
The Animal Kingdom,The disease mixomatosis was introduced to Australia in the 1950s to control them,rabbits,,False,False,"4,800",True,25,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Musical Theatre,"Gertrude Lawrence was the ""lady"" in the title of this 1941 musical about psychoanalysis",Lady in the Dark,Bob Verini,False,False,2500,False,6,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Japan,"The Ainu, most of whom live on this northernmost island, may have been Japan's first inhabitants",Hokkaido,Eric Newhouse,False,False,2500,False,3,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Architecture,"Chicagoan who has been called ""The Father of the American Skyscraper""",Louis Sullivan,Bob Verini,False,False,2500,False,19,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Democrats,He lost the presidential nomination to Hubert Humphrey in 1968 & ran as an independent in 1976,Eugene McCarthy,Eugene Finerman,False,False,2500,False,10,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
Classical Literature,This Roman poet fought for Brutus before settling down to write his epodes & odes,Horace,Eugene Finerman,False,False,2500,False,20,Super Jeopardy! show #4,"Saturday, July 7, 1990",Double Jeopardy! Round
1980S Rock,"In 1989 ""Express Yourself"" became this singer's 15th straight Top 5 hit, a record for females",Madonna,Mark Lowenthal,False,False,200,False,4,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Literature,This encyclopedia originated as part of the Scottish Enlightenment of the 18th century,Encyclopedia Brittanica,Paul Rouffa,False,False,200,False,8,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Plants,"Indican, a colorless substance in this plant, turns blue in air & is used as a dye",indigo,Cathy Boggs,False,False,200,False,26,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Geometry,A single straight line forms an angle of this many degrees,180,Keith Walker,False,False,200,False,1,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Design,A Schwartzlot is a German painted decoration using enamel of this color on glass,black,Paul Rouffa,False,False,200,False,16,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
The Dodgers,"It's said that when manager Tommy Lasorda cuts himself shaving, he bleeds this color",Dodger blue,Paul Rouffa,False,False,200,False,17,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
1980S Rock,"This Scottish singer appeared in the opening credits of ""For Your Eyes Only"", singing the title tune",Sheena Easton,Mark Lowenthal,False,False,400,False,6,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Literature,"The girls who were part of ""The Group"", by Mary McCarthy, attended this college",Vassar,Mark Lowenthal,False,False,"2,000",True,12,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Plants,The plantain is a species of this fruit,banana,Paul Rouffa,False,False,400,False,27,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Geometry,"In a right triangle, the side opposite the right angle is called this",hypotenuse,Mark Lowenthal,False,False,400,False,2,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Design,Juniper trees are sometimes used to build chests known by the name of this other wood,cedar,Paul Rouffa,False,False,400,False,22,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
The Dodgers,His 23 wins in 1988 were the most by a Dodger pitcher since Sandy Koufax's 27 in 1966,Orel Hershiser,Mark Lowenthal,False,False,400,False,18,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
1980S Rock,"This group's ""5150"" album was the first with Sammy Hagar as lead singer",Van Halen,Paul Rouffa,False,False,600,False,9,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Literature,"As James Jones could tell you, this completes Kipling's line from ""Gentlemen-Rankers"", ""Damned from...""",here to eternity,Mark Lowenthal,False,False,600,False,13,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Plants,"Among the most primitive plants with chlorophyll, it is the main plant life in both seawater & freshwater",algae,Paul Rouffa,False,False,600,False,28,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Geometry,"To determine the area of a circle, you multiply pi X this",radius squared,Cathy Boggs,False,False,600,False,3,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Design,"The Griffin originated as a design in this ""land between two rivers""",Mesopotamia,Keith Walker,False,False,600,False,23,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
The Dodgers,In 1981 this Dodger pitcher won the Rookie of the Year & the Cy Young Awards,Fernando Valenzuela,Paul Rouffa,False,False,600,False,19,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
1980S Rock,"She joined Tom Petty and the Heartbreakers in the 1981 smash ""Stop Draggin' My Heart Around""",Stevie Nicks,Paul Rouffa,False,False,800,False,10,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Literature,"Her poem ""I Never Saw A Moor"" didn't refer to her missing a production of ""Othello""",Emily Dickinson,,False,False,800,False,14,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Plants,Carrots are root vegetables while potatoes are examples of these underground stems,tubers,Mark Lowenthal,False,False,800,False,29,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Geometry,2 or more circles that share the same center are said to be this,concentric,Cathy Boggs,False,False,800,False,5,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Design,This group of buildings formed the Great Fortified Palace of the Moorish kings of Spain,Alhambra,Mark Lowenthal,False,False,800,False,24,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
The Dodgers,"In 1969 this catcher, whose career was cut short by a 1958 auto accident, was voted into the Hall of Fame",Roy Campanella,Paul Rouffa,False,False,800,False,20,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
1980S Rock,"In 1985 this group had its first No. 1 single with ""I Want To Know What Love Is""",Foreigner,Mark Lowenthal,False,False,1000,False,11,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Literature,"Among his ""Mosses From An Old Manse"" is ""Rappachini's Daughter""",Nathaniel Hawthorne,Cathy Boggs,False,False,1000,False,15,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Plants,This cactus can grow to 50' tall & the white flower that grows on top is Arizona's state flower,saguaro,Paul Rouffa,False,False,1000,False,30,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Geometry,An oblique angle is one that is either acute or this,obtuse,Keith Walker,False,False,1000,False,7,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Design,2 of the 3 classical orders of columns developed by the Greeks,"Doric, Ionic & Corinthian",Paul Rouffa,False,False,1000,False,25,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
The Dodgers,A Brooklyn bridge is named for this Dodger who lived in Brooklyn & later managed the Mets,Gil Hodges,Paul Rouffa,False,False,1000,False,21,Super Jeopardy! show #5,"Saturday, July 14, 1990",Jeopardy! Round
Civil War,"You're hot as a pistol if you know the Union bought over 146,000 of this company's pistols",Colt,Keith Walker,False,False,500,False,9,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Communications,"In 1989, for this medium's 50th anniversary, a plaque was put in a museum at the site of the 1939 World's Fair",Television,Mark Lowenthal,False,False,500,False,17,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Opera,"English translation of the title of Berlioz's opera ""Le Troyen""",The Trojans,Paul Rouffa,False,False,500,False,1,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Insects,"When hunting, this carnivore whose name means ""prophet"" raises its forelegs into a pious position",a praying mantis,Mark Lowenthal,False,False,500,False,24,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
World Geography,"This country's deserts include the Gibson, Great Sandy & Great Victoria",Australia,Keith Walker,False,False,500,False,12,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Kings Named Ed,In 1939 he visited England for the first time since his abdication,Edward VIII,Keith Walker,False,False,500,False,2,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Civil War,"In contrast to the ""Stars and Stripes"", the 1861 Confederate flag was nicknamed this","""Stars and Bars""",Keith Walker,False,False,1000,False,18,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Communications,Communications satellite launched in 1962 that was the first privately owned Earth satellite,Telstar,Paul Rouffa,False,False,1000,False,19,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Opera,Placido Domingo played Radames in a 1987 production of this Verdi opera staged at the Temple of Luxor,Aida,Mark Lowenthal,False,False,1000,False,3,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Insects,"The German variety of this household pest is also called the Croton bug, after New York City's Croton Reservoir",a cockroach,Paul Rouffa,False,False,1000,False,25,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
World Geography,Jamestown is the capital of this British island where Napoleon died,St. Helena,Mark Lowenthal,False,False,1000,False,13,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Kings Named Ed,This country's King Edward supported exploration projects of his brother Henry the Navigator,Portugal,Keith Walker,False,False,1000,False,4,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Civil War,"After failing to stop this general in Atlanta, General Hood asked to be relieved from duty",William T. Sherman,Cathy Boggs,False,False,1500,False,21,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Communications,"U Thant spoke to the U.N. general assembly in English, although this was his native tongue",Burmese,Mark Lowenthal,False,False,1500,False,20,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Opera,"This Russian novel inspired the opera ""Raskolnikov""",Crime and Punishment,Paul Rouffa,False,False,1500,False,5,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Insects,Bubonic plague is spread by these insects who bite infected rats,fleas,Paul Rouffa,False,False,1500,False,28,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
World Geography,"In population, it's the largest city in South America",SÃ£o Paulo,Cathy Boggs,False,False,1500,False,14,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Kings Named Ed,"Edward IV's symbol wasn't the tulip, though he fled to Holland before returning to fight this war",War of the Roses,Mark Lowenthal,False,False,1500,False,6,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Civil War,"After he resigned as treasury secretary, he was named Chief Justice by Lincoln, who never got along with him",Salmon P. Chase,Mark Lowenthal,False,False,2000,False,22,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Communications,"The most often used letter in English text, it is also the quickest to send in Morse code",E,Keith Walker,False,False,2000,False,26,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Opera,"Ping, Pang & Pong are characters in this Puccini opera set in Peking",Turandot,Keith Walker,False,False,2000,False,10,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
Insects,The dreaded Dutch Elm Disease is spread from tree to tree by this insect,a beetle,,False,False,2000,False,29,Super Jeopardy! show #5,"Saturday, July 14, 1990",Double Jeopardy! Round
